id|Product_name|Description|category|Price,,
101|Latte|Classic espresso and steamed milk.|Coffee|4.50,,
102|Cappuccino|Equal parts espresso, steamed milk, and foam.|Coffee|4.75
103|Black Coffee|Freshly brewed dark roast.|Coffee|3.00,,
104|Iced Tea|Refreshing black tea over ice.|Non-Coffee|3.50,,
105|Matcha Latte||Tea|5.50,,
106|Croissant|Flaky, buttery pastry.|PASTRY|2.50,
107|Blueberry Muffin|Moist muffin with fresh blueberries.|Pastry|3.25,,
108|Espresso Shot|Single shot of rich espresso.|Coffee|2.00,,
109|Hot Chocolate|Rich cocoa with steamed milk and whipped cream.|Non-Coffee|4.00,,
110|Bagel with Cream Cheese|Toasted bagel with cream cheese.|Pastry|3.75,,
111|Latté|Classic espresso and steamed milk.|Coffee|$4.50,,
112|Iced Tea|Refreshing black tea over ice.|Non-Coffee|3.50,,
113|Scone||Pastry|3.00,,
114|Cold Brew|Strong, slow-steeped coffee.|Coffee|4.00,
115|Vegan Muffin|Muffin made with non-dairy ingredients.|Pastry|3.75,,
116|Herbal Tea|Chamomile and peppermint blend.|Tea|3.00,,
117|Lemonade|Freshly squeezed lemon beverage.|Non-Coffee|4.25,,
118|Latte|Classic espresso and steamed milk.|Coffee|4.50,,
119|Cappuchino|Equal parts espresso, steamed milk, and foam.|Coffee|4.75
120|Bagel|Just a plain bagel.|Pastry|2.00,,
121|Americano|Espresso diluted with hot water.|Coffee|3.50,,
122|Frappe|Blended iced coffee drink.|Coffee|6.00,,
123|Doughnut|Sweet fried dough.|Pastry|2.25,,
124|Milk|Just a glass of cold milk.|Non-Coffee|2.00,,
125|Smoothie|Fruit blend.|non-coffee|6.50,,
